     2    0.11714E+04    0.51089E-01    0.34384E-05    0.32694E+01
     3    0.10875E+04    0.84862E-01   -0.19858E-05    0.41574E+01
     4    0.10109E+04    0.96808E-01    0.23818E-05    0.43123E+01
     5    0.95198E+03    0.87105E-01    0.48534E-05    0.40250E+01
     6    0.90902E+03    0.65193E-01    0.91549E-05    0.35255E+01
     7    0.87888E+03    0.41896E-01    0.12603E-04    0.29598E+01
     8    0.85827E+03    0.24263E-01    0.17605E-04    0.24176E+01
     9    0.84501E+03    0.14252E-01    0.20431E-04    0.19452E+01
    10    0.83757E+03    0.10179E-01    0.28026E-04    0.15692E+01
    11    0.83410E+03    0.91062E-02    0.33655E-04    0.13007E+01
    12    0.83454E+03    0.85976E-02    0.40513E-04    0.11416E+01
    13    0.83767E+03    0.79104E-02    0.48449E-04    0.10706E+01
    14    0.84214E+03    0.68660E-02    0.56236E-04    0.10618E+01
    15    0.84791E+03    0.59215E-02    0.64531E-04    0.10960E+01
    16    0.85528E+03    0.55546E-02    0.73344E-04    0.11563E+01
    17    0.86457E+03    0.56865E-02    0.82214E-04    0.12289E+01
    18    0.87587E+03    0.60972E-02    0.91663E-04    0.13013E+01
    19    0.88815E+03    0.65618E-02    0.10211E-03    0.13643E+01
    20    0.90039E+03    0.69213E-02    0.11308E-03    0.14118E+01
    21    0.91286E+03    0.72795E-02    0.12459E-03    0.14491E+01
    22    0.92595E+03    0.77931E-02    0.13592E-03    0.14826E+01
    23    0.93957E+03    0.85621E-02    0.14820E-03    0.15141E+01
    24    0.95350E+03    0.96517E-02    0.16105E-03    0.15448E+01
    25    0.96774E+03    0.11037E-01    0.17479E-03    0.15784E+01
    26    0.98233E+03    0.12670E-01    0.18878E-03    0.16181E+01
    27    0.99732E+03    0.14503E-01    0.20363E-03    0.16624E+01
    28    0.10127E+04    0.16500E-01    0.21903E-03    0.17088E+01
    29    0.10284E+04    0.18688E-01    0.23499E-03    0.17547E+01
    30    0.10442E+04    0.21094E-01    0.25124E-03    0.17974E+01
    31    0.10602E+04    0.23682E-01    0.26779E-03    0.18332E+01
    32    0.10765E+04    0.26412E-01    0.28519E-03    0.18583E+01
    33    0.10931E+04    0.29285E-01    0.30268E-03    0.18701E+01
    34    0.11100E+04    0.32317E-01    0.32124E-03    0.18671E+01
    35    0.11270E+04    0.35538E-01    0.34060E-03    0.18528E+01
    36    0.11441E+04    0.38978E-01    0.35985E-03    0.18300E+01
    37    0.11614E+04    0.42651E-01    0.37948E-03    0.17962E+01
    38    0.11791E+04    0.46567E-01    0.39993E-03    0.17486E+01
    39    0.11970E+04    0.50741E-01    0.42097E-03    0.16899E+01
    40    0.12151E+04    0.55192E-01    0.44281E-03    0.16242E+01
    41    0.12334E+04    0.59931E-01    0.46502E-03    0.15544E+01
    42    0.12518E+04    0.64949E-01    0.48841E-03    0.14788E+01
    43    0.12704E+04    0.70236E-01    0.51217E-03    0.13946E+01
    44    0.12891E+04    0.75777E-01    0.53613E-03    0.12989E+01
    45    0.13080E+04    0.81558E-01    0.56068E-03    0.11889E+01
    46    0.13271E+04    0.87573E-01    0.58616E-03    0.10625E+01
    47    0.13464E+04    0.93831E-01    0.61205E-03    0.92061E+00
    48    0.13660E+04    0.10035E+00    0.63867E-03    0.76487E+00
    49    0.13857E+04    0.10715E+00    0.66554E-03    0.59690E+00
    50    0.14056E+04    0.11423E+00    0.69298E-03    0.41834E+00
    51    0.14258E+04    0.12163E+00    0.72100E-03    0.23037E+00
    52    0.14461E+04    0.12932E+00    0.74976E-03    0.32387E-01
    53    0.14667E+04    0.13729E+00    0.77863E-03   -0.17666E+00
    54    0.14875E+04    0.14554E+00    0.80855E-03   -0.39781E+00
    55    0.15084E+04    0.15405E+00    0.83918E-03   -0.63212E+00
    56    0.15295E+04    0.16281E+00    0.87023E-03   -0.88042E+00
    57    0.15509E+04    0.17183E+00    0.90171E-03   -0.11427E+01
    58    0.15724E+04    0.18112E+00    0.93376E-03   -0.14186E+01
    59    0.15941E+04    0.19068E+00    0.96652E-03   -0.17079E+01
    60    0.16159E+04    0.20053E+00    0.99986E-03   -0.20103E+01
    61    0.16380E+04    0.21067E+00    0.10336E-02   -0.23258E+01
    62    0.16603E+04    0.22110E+00    0.10680E-02   -0.26543E+01
    63    0.16828E+04    0.23180E+00    0.11030E-02   -0.29962E+01
    64    0.17056E+04    0.24275E+00    0.11386E-02   -0.33517E+01
    65    0.17285E+04    0.25395E+00    0.11745E-02   -0.37211E+01
    66    0.17516E+04    0.26537E+00    0.12113E-02   -0.41043E+01
    67    0.17750E+04    0.27702E+00    0.12483E-02   -0.45007E+01
