    66    0.17502E+04    0.26424E+00   -0.41012E+01    0.53621E+07    0.10423E+05
    67    0.17736E+04    0.27586E+00   -0.44976E+01    0.53335E+07    0.10211E+05
    68    0.17972E+04    0.28770E+00   -0.49063E+01    0.53046E+07    0.10007E+05
    69    0.18211E+04    0.29977E+00   -0.53262E+01    0.52756E+07    0.98127E+04
    70    0.18452E+04    0.31205E+00   -0.57564E+01    0.52465E+07    0.96309E+04
    71    0.18696E+04    0.32455E+00   -0.61961E+01    0.52172E+07    0.94627E+04
    72    0.18943E+04    0.33725E+00   -0.66455E+01    0.51878E+07    0.93062E+04
    73    0.19192E+04    0.35014E+00   -0.71051E+01    0.51583E+07    0.91587E+04
    74    0.19444E+04    0.36322E+00   -0.75751E+01    0.51287E+07    0.90177E+04
    75    0.19698E+04    0.37648E+00   -0.80560E+01    0.50991E+07    0.88805E+04
    76    0.19953E+04    0.38990E+00   -0.85481E+01    0.50695E+07    0.87447E+04
    77    0.20211E+04    0.40348E+00   -0.90512E+01    0.50398E+07    0.86091E+04
    78    0.20471E+04    0.41720E+00   -0.95650E+01    0.50101E+07    0.84726E+04
    79    0.20733E+04    0.43106E+00   -0.10089E+02    0.49803E+07    0.83344E+04
    80    0.20997E+04    0.44506E+00   -0.10624E+02    0.49505E+07    0.81934E+04
    81    0.21263E+04    0.45916E+00   -0.11168E+02    0.49207E+07    0.80490E+04
    82    0.21532E+04    0.47338E+00   -0.11722E+02    0.48909E+07    0.79026E+04
    83    0.21803E+04    0.48769E+00   -0.12284E+02    0.48611E+07    0.77559E+04
    84    0.22076E+04    0.50209E+00   -0.12854E+02    0.48314E+07    0.76107E+04
    85    0.22353E+04    0.51655E+00   -0.13431E+02    0.48017E+07    0.74688E+04
    86    0.22632E+04    0.53108E+00   -0.14013E+02    0.47722E+07    0.73314E+04
    87    0.22914E+04    0.54565E+00   -0.14602E+02    0.47427E+07    0.71989E+04
    88    0.23199E+04    0.56025E+00   -0.15197E+02    0.47134E+07    0.70708E+04
    89    0.23486E+04    0.57488E+00   -0.15797E+02    0.46841E+07    0.69469E+04
    90    0.23776E+04    0.58951E+00   -0.16403E+02    0.46550E+07    0.68271E+04
    91    0.24067E+04    0.60413E+00   -0.17015E+02    0.46259E+07    0.67111E+04
    92    0.24361E+04    0.61873E+00   -0.17632E+02    0.45970E+07    0.65988E+04
    93    0.24656E+04    0.63329E+00   -0.18253E+02    0.45682E+07    0.64899E+04
    94    0.24954E+04    0.64781E+00   -0.18879E+02    0.45395E+07    0.63844E+04
    95    0.25254E+04    0.66227E+00   -0.19508E+02    0.45109E+07    0.62820E+04
    96    0.25555E+04    0.67664E+00   -0.20140E+02    0.44825E+07    0.61827E+04
    97    0.25859E+04    0.69093E+00   -0.20774E+02    0.44542E+07    0.60863E+04
    98    0.26164E+04    0.70512E+00   -0.21410E+02    0.44260E+07    0.59926E+04
    99    0.26471E+04    0.71919E+00   -0.22048E+02    0.43979E+07    0.59015E+04
   100    0.26781E+04    0.73312E+00   -0.22687E+02    0.43700E+07    0.58128E+04
   101    0.27092E+04    0.74692E+00   -0.23326E+02    0.43423E+07    0.57265E+04
   102    0.27405E+04    0.76055E+00   -0.23965E+02    0.43147E+07    0.56422E+04
   103    0.27720E+04    0.77401E+00   -0.24603E+02    0.42872E+07    0.55600E+04
   104    0.28036E+04    0.78729E+00   -0.25240E+02    0.42599E+07    0.54796E+04
   105    0.28355E+04    0.80037E+00   -0.25876E+02    0.42328E+07    0.54008E+04
   106    0.28675E+04    0.81323E+00   -0.26509E+02    0.42058E+07    0.53237E+04
   107    0.28997E+04    0.82587E+00   -0.27140E+02    0.41790E+07    0.52479E+04
   108    0.29321E+04    0.83827E+00   -0.27767E+02    0.41524E+07    0.51733E+04
   109    0.29647E+04    0.85041E+00   -0.28390E+02    0.41259E+07    0.50998E+04
   110    0.29974E+04    0.86228E+00   -0.29010E+02    0.40996E+07    0.50273E+04
   111    0.30303E+04    0.87388E+00   -0.29624E+02    0.40735E+07    0.49556E+04
   112    0.30633E+04    0.88518E+00   -0.30233E+02    0.40476E+07    0.48846E+04
   113    0.30965E+04    0.89618E+00   -0.30836E+02    0.40219E+07    0.48145E+04
   114    0.31299E+04    0.90687E+00   -0.31433E+02    0.39963E+07    0.47453E+04
   115    0.31633E+04    0.91725E+00   -0.32023E+02    0.39709E+07    0.46768E+04
   116    0.31969E+04    0.92729E+00   -0.32605E+02    0.39457E+07    0.46092E+04
   117    0.32306E+04    0.93700E+00   -0.33180E+02    0.39207E+07    0.45425E+04
   118    0.32644E+04    0.94636E+00   -0.33746E+02    0.38959E+07    0.44767E+04
   119    0.32983E+04    0.95536E+00   -0.34302E+02    0.38712E+07    0.44117E+04
   120    0.33323E+04    0.96400E+00   -0.34850E+02    0.38468E+07    0.43477E+04
   121    0.33664E+04    0.97226E+00   -0.35387E+02    0.38225E+07    0.42846E+04
   122    0.34005E+04    0.98013E+00   -0.35913E+02    0.37984E+07    0.42224E+04
   123    0.34347E+04    0.98762E+00   -0.36429E+02    0.37745E+07    0.41612E+04
   124    0.34689E+04    0.99470E+00   -0.36932E+02    0.37508E+07    0.41009E+04
   125    0.35032E+04    0.10014E+01   -0.37424E+02    0.37272E+07    0.40416E+04
   126    0.35375E+04    0.10076E+01   -0.37903E+02    0.37039E+07    0.39832E+04
   127    0.35718E+04    0.10134E+01   -0.38368E+02    0.36807E+07    0.39259E+04
   128    0.36061E+04    0.10188E+01   -0.38820E+02    0.36577E+07    0.38696E+04
   129    0.36404E+04    0.10237E+01   -0.39257E+02    0.36349E+07    0.38143E+04
   130    0.36747E+04    0.10282E+01   -0.39679E+02    0.36122E+07    0.37601E+04
   131    0.37090E+04    0.10322E+01   -0.40086E+02    0.35898E+07    0.37069E+04
   132    0.37433E+04    0.10357E+01   -0.40477E+02    0.35675E+07    0.36547E+04
   133    0.37775E+04    0.10387E+01   -0.40852E+02    0.35455E+07    0.36036E+04
   134    0.38117E+04    0.10413E+01   -0.41210E+02    0.35236E+07    0.35534E+04
   135    0.38458E+04    0.10435E+01   -0.41551E+02    0.35018E+07    0.35042E+04
   136    0.38798E+04    0.10451E+01   -0.41875E+02    0.34803E+07    0.34559E+04
   137    0.39138E+04    0.10463E+01   -0.42180E+02    0.34589E+07    0.34085E+04
   138    0.39477E+04    0.10471E+01   -0.42467E+02    0.34377E+07    0.33620E+04
   139    0.39815E+04    0.10474E+01   -0.42734E+02    0.34167E+07    0.33164E+04
   140    0.40152E+04    0.10472E+01   -0.42983E+02    0.33959E+07    0.32716E+04
   141    0.40489E+04    0.10466E+01   -0.43211E+02    0.33752E+07    0.32276E+04
